name,nationality,sport
Lieuwe de Boer,Netherlands,Speed skater
Lorenzo Martínez,,Volleyball player
Francis Kerbiriou,France,French athlete
Nicolae Munteanu,,Handball player
Nicolae Pop,,Volleyball player
Nobutaka Taguchi,Japan,Japanese swimmer
Ildikó Schwarczenberger,Hungary,Hungarian fencer
Ilona Nagy,Hungary,Hungarian handball player
Imre Gedővári,Hungary,Hungarian fencer
Clarence Hill (boxer),,Boxer
Samiullah Khan (field hockey),Pakistan,Pakistani field hockey player
Satymkul Dzhumanazarov,,Athletics (sport) competitor
Colleen O'Connor,United States,Figure skater
Constantin Sterea (volleyball),Romania,Volleyball player
Kathy Hammond,,Athletics (sport) competitor
Ivan Burtchin,,Canoe racer
Jörg Puttlitz,,Rower
Elisabeth Demleitner,,Luger
Ellen Streidt,Germany,German sprinter
Erik Fish,,Swimmer
Tom McBreen,United States,American swimmer Olympic gold medalist former world record-holder
Ludmilla Tourischeva,Soviet Union,Gymnast
Lynn Vidali,United States,American swimmer Olympic silver medalist former world record-holder
Lyudmila Maslakova,,Athletics (sport) competitor
Mária Zakariás,Hungary,Hungarian canoeist
Márta Megyeri,,Handball player
Magdalena Wunderlich,Germany,German canoeist
Yelena Antonova (rower),United States,Olympic rowers of the Soviet Union
Yuri Lobanov,Soviet Union,Canoe racer
Patrick Sweeney (rower),,Rower
Paul-Heinz Wellmann,Germany,German middle distance runner
Rudolf Nébald,Hungary,Hungarian fencer
Mikko Huhtala,,Olympic wrestler
Ton Buunk,United States,Water polo player
Tsvetana Bozhurina,,Volleyball player
Ute Hommola,Germany,German javelin thrower
Valeriy Podluzhniy,,Athletics (sport) competitor
Steve Furniss,United States,American swimmer Olympic bronze medalist former world record-holder
Heinz Stettler,Switzerland,Swiss bobsledder
Klaus-Peter Hildenbrand,,Athletics (sport) competitor
Larion Serghei,,Canoe racer
Lars-Erik Skiöld,Sweden,Olympic wrestler
Marion Tietz,,Handball player
James McEwan,,Canoe racer
Julie Staver,United States,Field hockey player
Athol Earl,,Rower
Angela Coughlan,Canada,Canadian swimmer
Oleh Blokhin,Soviet Union,footballer
Ralph Kubail,,Rower
Reinhard Häfner,Germany,German footballer and manager
Peter Westbrook,United States,Fencer
Phil Monckton,,Rower
Pietro Mennea,Italy,Athletics (sport) competitor sprinter
Preben Krab,,Rower
Aleksandr Yelizarov,Soviet Union,Soviet biathlete
Alfred Kałuziński,Poland,Polish handball player
Susan Shields,United States,American swimmer Olympic bronze medalist
Tamás Buday,,Canoe racer
Tamás Faragó,,Water polo player
Tatyana Prorochenko,,Athletics (sport) competitor
Terje Andersen,,Speed skater
George Turpin,United Kingdom,Boxer
Vera Anisimova,Soviet Union,Soviet sprinter
Viacheslav Lampeev,Soviet Union,Field hockey player
Viktor Savchenko,Soviet Union,Boxer
Joachim Dreifke,,Rower
Alfredo Figueredo,Cuba,Volleyball player
András Botos,,Boxer
Nikolai Andrianov,Soviet Union,Gymnast
Charlie Spedding,United Kingdom,British athlete
Christina Rost,,Handball player
Clemente Rojas,,Boxer
Wendy Turnbull,Australia,Tennis player
Werner Stöckl,,Handball player
Willi Frommelt,Alps,Alpine skier
Cynthia Neale-Ishoy,Canada,Olympic medalist in equestrian
Karin Büttner-Janz,,Gymnast
Kent Massey,United States,Sailor
Jürgen Pommerenke,Germany,German footballer and manager
Erzsébet Csajbók,,Handball player
Thomas Strauß,,Rower
Luis Gregorio Ramos,,Canoe racer
Manfred Beer,Germany,German biathlete
Yuri Gavrilov,United States,Russian footballer
Zoran Pančić,Yugoslavia,Rower
Gail Ricketson,United States,Olympic medalist in rowing
Patrick Cowdell,,Boxer
Pavel Pavlov (wrestler),,Olympic wrestler
Rolf Danneberg,Germany,German discus thrower
Milorad Stanulov,,Rower
Ulrike Bruns,Germany,German middle distance runner
Valeri Belyakov,Soviet Union,Field hockey player
Valeri Dolinin,United States,Rower
Hans Rinn,,Luger
Harald Stenvaag,,Sport shooter
Henry Glaß,,Ski jumper
Klára Rajnai,,Canoe racer
Maria Micşa,,Rower
Janet Lynn,,Figure skater
Jean-Blaise Evéquoz,,Fencer
Dwight Stones,United States,Athletics (sport) competitor high jumper track and field commentator
Elfi Zinn,,East german middle distance runner
Juan Paredes,,Boxer
Kaarlo Maaninka,,Athletics (sport) competitor
Axel Tyll,Germany,German footballer
Ayhan Taşkın,,Olympic wrestler
Angelo Parisi,Italy,Olympic Judoka
Aramby Emizh,Soviet Union,Judoka
Oszkár Frey,,Canoe racer
Ralph Evans (boxer),United Kingdom,Boxer
Raul Arnemann,,Rower
Aleksandr Prokopenko,Belarus,Association footballer
Alexandr Romankov,Soviet Union,Soviet fencer
Robert Espeseth,,Olympic medalists in rowing
Tatyana Providokhina,,Athletics (sport) competitor
Nadezhda Sevostyanova,,Rower
Bruce Robertson (swimmer),Canada,Canadian swimmer
Valter Chifu,,Volleyball player
Vassily Solomin,,Boxer
Vladimir Kolev,,Boxer
Vladimir Lobanov,,Speed skater
Jerzy Klempel,Poland,Polish handball player
Jerzy Rybicki,Poland,Polish boxer
Jesús Savigne,,Volleyball player
Jo Hea-Jung,,Volleyball player
Andreas Kirchner,,Bobsledder
Leif Holmgren,Sweden,Swedish ice hockey player
Leonid Buryak,Soviet Union,Footballer
Francesco Dall'Olio,Italy,Volleyball player
Matija Ljubek,,Canoe racer
Mats Waltin,Sweden,Swedish ice hockey player
Nedelcho Kolev,,Weightlifter
Nikolay Bazhukov,,Cross-country skier
Nikolay Kolesnikov (sprinter),,Athletics (sport) competitor
Nikolay Kuznetsov (rower),,Rower
Herminio Menéndez,,Canoe racer
Charles Tickner,,Figure skater
Adam Sandurski,Poland,Polish sport wrestler
Adam Tomasiak,Poland,Polish rower
Carie Graves,,Olympic medalist in rowing
Carol Brown (rower),,Olympic rower
Wilfried Hartung,Germany,Swimmer
Cornel Marin,Romania,Fencer
John Murphy (swimmer),United States,American swimmer Olympic gold medalist
Karl-Heinz Krüger,Germany,Boxer
Karl Schrott,,Luger
Kate Schmidt,,Athletics (sport) competitor
Ioan Pop,Romania,Fencer
Ivan Manev,,Canoe racer
Jørgen Bojsen-Møller,,Sailor
Jürgen Lehnert,,Canoe racer
Tim Willoughby,Australia,Australian rower yachtsman and investment banker
Lucian Vasilache,,Handball player
Lyudmila Krokhina,,Rower
Grzegorz Nowak (rower),Poland,Polish rower
Hans-Henrik Ørsted,Denmark,Track cyclist
Yevgeny Belyayev,,Cross-country skier
Yuji Takada (wrestler),,Olympic wrestler
Zdeněk Pecka,,Rower
Franz Reindl,Germany,Ice hockey player
Urs Salzmann,,Bobsledder
Sergėjus Jovaiša,Lithuania,Basketball player
Sergei Klevtsov,Soviet Union,Field hockey player
Siegfried Fricke,,Rower
Silvia Chivás,,Athletics (sport) competitor
Silvio Giobellina,,Bobsledder
Hans van Zeeland,Netherlands,Dutch water polo player
Hartwig Gauder,,Athletics (sport) competitor
Herbert Plank,Alps,Alpine skier
Lazar Khristov,,Canoe racer
Maria Teresa Ramírez,Mexico,Swimmer
Marion Greig,United States,Olympic medalist in rowing
Marit Myrmæl,,Cross-country skier
Mark Berger (judoka),Ukraine,Judoka
Martha Laurijsen,,Rower
Ecaterina Oancia,,Rower
Edit Kovács,Hungary,Hungarian fencer
Joslyn Hoyte-Smith,United Kingdom,British athlete
Jutta Kirst,Germany,German high jumper
Kai Arne Engelstad,,Speed skater
Aziz Salihu,,Boxer
Anne Warner (rower),United States,Olympic medalist in rowing
Annemiek Derckx,,Canoe racer
Anton Winkler,,Luger
Aristidis Rapanakis,,Sailor
Oleg Romantsev,Soviet Union,Russian footballer and manager
Ossie Stewart,United Kingdom,Sailor
Radomir Kovačević,,Judoka
Petra Uhlig,,Handball player
Policarp Malîhin,,Canoe racer
Aleksandr Abushakhmetov,Kyrgyzstan,Fencer
Aleksandr Aksinin,,Athletics (sport) competitor
Alfio Peraboni,Italy,Sailor
Rik Toonen,,Water polo player
Robert Van de Walle,Belgium,judoka
Tatyana Skachko,Soviet Union,Soviet long jumper
Gheorghe Megelea,Romania,Romanian javelin thrower
Gijze Stroboer,Netherlands,Water polo player
Mohamed Kedir,,Athletics (sport) competitor
Beverley Whitfield,,Swimmer
Birgitte Hanel,,Rower
Bozhidar Milenkov,,Canoe racer
Valery Gazzaev,Soviet Union,Soviet footballer and manager
Vasile Dîba,,Canoe racer
Vladimir Smirnov (fencer),Soviet Union,Soviet fencer
Wanda Jewell,United States,Former American Olympic sports shooter.
João Carlos de Oliveira,Brazil,Athletics (sport) competitor
Anatoly Myshkin,,Basketball player
Andrea Gyarmati,,Swimmer
Andrei Minenkov,United States,Russian ice dancer
Leszek Kosedowski,Poland,Polish boxer
Farit Zigangirov,Soviet Union,Russian field hockey player
Felicia Afrăsiloaie,Romania,Olympic rower of Romania
Frédéric Pietruszka,France,Fencer
Frank-Peter Bischof,Germany,Canoe racer
Marvin Johnson,,Boxer
Nico Landeweerd,,Water polo player
Novella Calligaris,Italy,Swimmer
Herman Frazier,,Athletics (sport) competitor and athletic director
Ian Brown (sailor),,Sailor
Ian Taylor (field hockey),,Field hockey player
Akhtar Rasool,,Field hockey player
Carmen Valdés,Cuba,Cuban sprinter
Carola Zirzow,Germany,German canoeist
Cezar Drăgăniță,Romania,Handball player
Costică Dafinoiu,,Boxer
Dan Gîrleanu,Romania,Volleyball player
Danièle Debernard,Alps,Alpine skier
Karen Moras,,Swimmer
Kazimierz Szczerba,Poland,Polish boxer
Irina Moiseeva,United States,Russian ice dancer
Enith Brigitha,,Swimmer
Tim Steens,,Field hockey player
Luis Martínez (boxer),,Boxer
Malcolm Carmichael,United Kingdom,Rower
Yuri Barinov,Soviet Union,Racing cyclist
Zebiniso Rustamova,Tajikistan,Archer
Günther Enescu,Romania,Volleyball player
Georg Fluckinger,,Luger
Paul Barber (field hockey),,Field hockey player
Petar Petrov (athlete),Bulgaria,Bulgarian sprinter
Peter Dignan,,Olympic Rower
Detlef Ultsch,,Judoka
Dominique Rocheteau,France,Footballer
Donna Gurr,Canada,Swimmer
Rositsa Dimitrova,,Volleyball player
Rumyana Kaisheva,,Volleyball player
Mihovil Nakić,Croatia,Croatian basketball player
Mikhail Nichepurenko,Soviet Union,Field hockey player
Udo Beyer,,Athletics (sport) competitor
Udo Kiessling,Germany,Ice hockey player
Václav Vochoska,,Rower
Stefano Bellone,Italy,Italian fencer
Steve Ovett,England,British middle-distance runner
Henk Numan,United States,Judoka
Konrad Winkler (skier),Germany,German nordic combined skier
Kulbir Bhaura,,Field hockey player
Marc Cerboni,,Fencer
Marco Negri (volleyball),,Volleyball player
Margaret Knighton,,Equestrian
Marian Sypniewski,Poland,Polish fencer
Marja-Liisa Kirvesniemi,,Cross-country skier
Earl Bell,United States,American pole vaulter
Edwin Moses,United States,American 400 metres hurdler
Eigil Ramsfjell,,Curler
Barbara Petzold,,Cross-country skier
Anka Khristolova,,Volleyball player
Anne Henning,,Speed skater
Päivi Meriluoto,,Archer
Rajko Žižić,Yugoslavia,Montenegrin basketball player
Revaz Chelebadze,Soviet Union,footballer
Ricardo Rojas Frías,,Boxer
Pierre Durand Jr.,,Equestrian
Piotr Cieśla,Poland,Polish handball player
Alexander Zavyalov,Soviet Union,Soviet cross country skier
Richard Nowakowski,Poland,Boxer
Richard Priestman,,Archer
Stoyanka Kurbatova,,Rower
Sue Holloway,,Canoe racer and cross country skier
Tanya Dimitrova,,Volleyball player
Evelyn Matz,,Handball player
Dave Rodger,,Rower
David Townsend (rower),United Kingdom,Rower
Momir Rnić,,Handball player
Natalya Petrusyova,,Speed skater
Bernd Duvigneau,,Canoe racer
Bo Berglund,Sweden,Ice hockey player
Borislav Ananiev,,Canoe racer
Butch Johnson,United States,Archer
Vasile Andrei,,Wrestler
Verka Borisova,,Volleyball player
Virginia Leng,United Kingdom,Equestrian
Włodzimierz Zieliński,Poland,Polish handball player
Anastasios Bountouris,Greece,Greek yacht racer
Andy Hoepelman,,Water polo player
Leonid Nazarenko,Russia,Russian footballer
Lorraine Moller,,New Zealand distance runner
Lothar Krieg,Germany,German sprinter
François Barouh,,Canoe racer
Frank Baumgartl,,Athletics (sport) competitor
Frank Wartenberg,Germany,German long jumper
Maya Georgieva,,Volleyball player
Neculai Vasilcă,,Handball player
Nikolai Ilkov,,Canoe racer
Hugh Fisher (canoeist),New Zealand,Canoe racer
Sandro Bellucci,Italy,Athletics (sport) competitor
Carlos Salas,,Volleyball player
Wendy Boglioli,United States,American swimmer Olympic gold medalist former world record-holder
Dan Harrigan,United States,American swimmer Olympic bronze medalist
Dan Immerfall,,Speed skater
Dan Karabin,Slovakia,Olympic wrestler
Daniel Carlisle,United States,Former American Olympic sports shooter.
John Tate (boxer),United States,American boxer
Kenth Eldebrink,,Athletics (sport) competitor
Khoren Oganesian,Soviet Union,Footballer
Éva Angyal,Hungary,Hungarian handball players
Erhard Wunderlich,Germany,German handball player
Erik Christiansen,Denmark,Rower Rower
Thomas Hörster,Germany,German football player/manager/scout
Tinks Pottinger,,Equestrian
Márta Egervári,Hungary,Gymnast
György Nébald,Hungary,Fencer
Håkan Eriksson (ice hockey),Sweden,Swedish ice hockey player
Hanni Wenzel,Germany,Alpine skier
Zoltán Verrasztó,Hungary,Swimmer
Fritz Fischer (biathlete),Germany,German biathlete
Göran Lindblom,Sweden,Ice hockey player
Gael Martin,Australia,Australian shot putter and discus thrower
Peggy McCarthy,United States,Olympic medalists in rowing
Peter Lindmark,Sweden,Swedish ice hockey player
Detlef Richter,Germany,Bobsledder
Roland Wieser,,Athletics (sport) competitor
Michèle Chardonnet,France,French athlete
Michael Musyoki,,Athletics (sport) competitor
Mike Teti,United States,Olympic medalist in rowing
Mirko Puzović,,Boxer
Sergey Andreyev,Soviet Union,footballer
Sergey Shavlo,Ukraine,footballer
Shane Gould,,Swimmer
Silviya Petrunova,,Volleyball player
Sonia Lannaman,United States,British athlete
Sorin Macavei,Romania,Volleyball player
Steve Podborski,United States,Alpine skier
Hans Smits,,Water polo player
Klaus Ploghaus,Germany,German hammer thrower
Klaus Wöller,Germany,German handball player
Koji Gushiken,,Gymnast
Květa Jeriová,,Cross-country skier
Larry Myricks,,Long jumper
Lars Molin (ice hockey),Sweden,Ice hockey player
Lawrie Smith,United Kingdom,Sailor
Mark Precious,,Field hockey player
Mark Todd (equestrian),New Zealand,Equestrian
Jean-François Lamour,France,Fencer
Barbara Schüttpelz,,Canoe racer
Ove Aunli,,Cross-country skier
Raúl Vilches,,Volleyball player
Rüdiger Helm,,Canoe racer
Alex Boegschoten,,Water polo player
Alexander Fölker,,Handball player
Tatyana Lesovaya,Soviet Union,Soviet discus throw
Tengiz Sulakvelidze,Soviet Union,footballer
Terence Neilson,,Sailor
Dave Laut,,Athletics (sport) competitor
Gert Frank,Denmark,Danish racing cyclist
Giovanni Lanfranco (volleyball),Italy,Volleyball player
Berit Aunli,,Cross-country skier
Bernd Olbricht,,Canoe racer
Beverley Goddard,United Kingdom,British athlete
Bjarni Friðriksson,,Judoka
Blagoy Blagoev,,Weightlifter
Victoriano Sarmientos,,Volleyball player
Viktor Rybakov,Soviet Union,Boxer
Viorel Manole,Romania,Volleyball player
Vladimir Fyodorov (footballer),Soviet Union,Russian footballer
Volker Grabow,Germany,Rower
Wang Linwei,,Handball player
Jeff Madrigali,United States,Sailor
Jim Barton (sailor),United States,Sailor
Andrew Bennie,,Equestrian
Leonard Nitz,United States,American racing cyclist
Leslie Milne (field hockey),United States,Field hockey player
Li Ronghua,,Olympic rower
Frank Andersson,Sweden,Wrestler
Hussein Ahmed Salah,Djibouti,Long-distance runner from Djibouti
Christine Errath,Germany,German figure skater
Christine Larson-Mason,United States,Field hockey player
Claudia Wunderlich,Germany,East German handball player
Ace Rusevski,Yugoslavia,Boxer
Cees Jan Diepeveen,,Field hockey player
Wendy Hogg,,Swimmer
Dag Otto Lauritzen,Norway,Norwegian racing cyclist
Joni Huntley,United States,American Olympic athlete
Ştefan Rusu,,Olympic wrestler
Ingrid Auerswald,,Athletics (sport) competitor
István Lévai,,Boxer
Ivan Lebanov,,Cross-country skier
Jüri Tamm,Estonia,Athletics (sport) competitor hammer thrower Estonian politician
Luis Delís,,Athletics (sport) competitor
Grigory Verichev,Soviet Union,Judoka
Wolfgang Hoppe,Germany,Bobsledder
Wu Xingjiang,China,Chinese handball player
Xu Haifeng,China,Chinese sport shooter
Yumi Maruyama,,Volleyball player
Gail Amundrud,Canada,Canadian Swimmer
Paul Frommelt,Alps,Alpine skier
Payao Poontarat,Thailand,Boxer Politician
Dirk Rauin,,Handball player
Rudolf Bommer,Germany,German football player and manager
Michael Anthony (boxer),,Boxer
Michel Poffet,,Fencer
Mircea Bedivan,,Handball player
Mircea Frăţică,,Judoka
Véronique Brouquier,France,Fencer
Valentin Silaghi,,Boxer
Valeria Răcilă,,Rower
Sergei Pleshakov,Soviet Union,Field hockey player
Sergei Zhelanov,Soviet Union,Soviet decathlete
Stephen Calder,,Sailor
Harald Lückner,Sweden,Swedish ice hockey player
Harald Schmid,Germany,German sprinter and hurdler
Herbert Bauch,,Boxer
Kyoji Yamawaki,Japan,Japanese gymnast
Marek Seweryn,,Weightlifter
Marianna Nagy (handballer),Hungary,Hungarian handball player
James Duthie (field hockey),,Field hockey player
Jan Mathiasen,,Sailor
Jayne Torvill,,Figure skater
Dugarsürengiin Oyuunbold,,Olympic wrestler
Dumitru Cipere,,Boxer
Duncan Goodhew,United Kingdom,British swimmer
Johann Riederer,,Sport shooter
John Beattie (rower),United Kingdom,Rower
Bärbel Köster,,Canoe racer
Anette Bøe,,Cross-country skier
Anne Quist,,Rower
Arnulf Meffle,,Handball player
Philippe Riboud,France,Fencer
Aleksandr Puchkov,,Athletics (sport) competitor
Alexander Dityatin,Soviet Union,Gymnast
Rinat Dasayev,Soviet Union,Soviet footballer
Robert Mills (rower),,Rower
David Weller,Jamaica,Jamaican racing cyclist
Gheorghe Covaciu,,Handball player
Gianfranco Dalla Barba,Italy,Fencer
Gina Smith,Canada,Olympic medalist in equestrian
Beth Beglin,United States,Field hockey player
Bill Forrester,United States,American swimmer Olympic bronze medalist former world record-holder
Birgit Heinecke,,Handball player
Bodil Rasmussen,Denmark,Rower
Bogdan Musiol,,Bobsledder
Brigitte Latrille-Gaudin,France,Fencer
Vasile Oprea,,Handball player
Vasile Stîngă,,Handball player
Viktor Kokoshyn,,Rower
Vladimir Pleshakov,Soviet Union,Field hockey player
Walter Carmona,,Judoka
Alwyn Morris,Montreal,Canoe racer
Martin Cross,United Kingdom,Rower
Nicu Stoian,,Volleyball player
Nikolay Kirov,,Athletics (sport) competitor
Ian McNuff,United Kingdom,Rower
Charlotte Bredahl,United States,Olympic medalist in equestrian
Charlotte Koefoed,,Rower
Christina Seufert,United States,Olympic diver
Christine Traurig,United States,Olympic medalist in equestrian
Christopher Cairns (sailor),,Sailor
Sabine Röther,,Handball player
Adam Robak,Poland,Polish fencer
Aki Karvonen,,Cross-country skier
Carlo Massullo,,Modern pentathlete 1984 Olympic team gold 1988 team & individual silver 1992 team bronze
Charlene Morett,United States,Field hockey player
Wiljon Vaandrager,,Rower
Cornel Durău,,Handball player
Karen Shelton,,Field hockey player
Kazimierz Adach,Poland,Polish boxer
Keena Rothhammer,United States,American swimmer Olympic gold medalist former world record-holder
Keith Connor,United Kingdom,British athlete
Ion Bîrlădeanu,,Canoe racer
Irada Ashumova,Azerbaijan,Azerbaijani sport shooter
Július Strnisko,Czechoslovakia,Czechoslovak wrestler
Jānis Ķipurs,,Bobsledder
Ellen Fiedler,Germany,German hurdler
Thomas Happe,,Handball player
Lucie Guay,,Canoe racer
Lyudmila Kondratyeva,Soviet Union,Soviet sprint athlete
Graeme Brewer,Australia,Swimmer
Hans Enn,Alps,Alpine skier
Wolfgang Funkel,Germany,German football player and manager
Yuko Mitsuya,,Volleyball player
Zhang Peijun,China,Chinese handball player
Zintis Ekmanis,,Bobsledder
Gaétan Boucher,Quebec,Speed skater
Gary Oakes,United Kingdom,British athlete
Paul Davis (sailor),,Sailor
Det de Beus,Netherlands,Field hockey player
Detlef Kästner,Germany,Boxer
Diane Dezura,Canada,Curler
Djan Madruga,Brazil,Swimmer
Doug Hamilton (rower),,Rower
Rosa Mota,Portugal,Athletics (sport) competitor
Turgut Aykaç,,Boxer
Ulla Salzgeber,Germany,Equestrian
Ute Thimm,Germany,German sprinter
Uwe Bewersdorf,Germany,German pair skater
Valentina Skrabatun,Belarus,Rower
Sergei Pavlovich Baltacha,Soviet Union,footballer
Song Xiaobo,,Basketball player
Sophie von Weiler,,Field hockey player
Steve Timmons,United States,Volleyball player
Hans Magnus Grepperud,,Rower
Harold Haenel,,Sailor
Heike Schulte-Mattler,Germany,German sprinter
Kriss Akabusi,United Kingdom,British athlete
Larysa Karlova,Soviet Union,Handball player
Marek Łbik,Poland,Polish canoeist
Margot Foster,,Rower
James Battersby,,Rower
Jan Eriksson (ice hockey),Sweden,Ice hockey player
Dwayne Evans,United States,American sprinter
Eckhard Leue,Germany,Canoe racer
Arto Bryggare,Finland,Athletics (sport) competitor hurdler
Barbara Clark,,Swimmer
Anton Steiner,Alps,Alpine skier
Antonina Melnikova,Soviet Union,Canoe racer
Antonina Zelikovich,Russia,Russian rower
Pascal Jolyot,France,Fencer
Pascale Trinquet,France,French fencer
Piero Rebaudengo,,Volleyball player
Aleksander Cichoń,Poland,Olympic wrestler
Aleksandr Mozhayev,Russia,Fencer
Aletta van Manen,,Field hockey player
Rico Freiermuth,,Bobsledder
Robert McCall (figure skater),Canada,Figure skater
Roberto Tozzi,,Athletics (sport) competitor
Susan Sloan,,Swimmer
Tamara Bykova,Soviet Union,Soviet high jumper
Tapio Sipilä,,Olympic wrestler
Gerhard Kleppinger,Germany,German footballer and manager
Benni Ljungbeck,,Olympic wrestler
Boris Isachenko,Soviet Union,Archer
Vasil Yakusha,,Belorussian rower
Veryan Pappin,,Field hockey player
