Name,Nationality,Sport
Elaine Tanner,Canada,Swimmer
John Kerr (sailor),,Olympic sailor
Ashot Karagyan,Armenia,Fencer
Anette Rückes,Germany,German sprinter
Anita Miller,United States,Field hockey
Antonio Rodríguez (volleyball),,Volleyball
Olaf Engelhardt,,Sailor
Péter Baczakó,,Weightlifter
Alan Minter,England,Middleweight boxer champion of the world
Alejandro Urgelles Guibot,,Basketball
Alexander Belov,Soviet Union,Basketball
Rick Colella,United States,American swimmer Olympic bronze medalist
Susan Corrock,United States,Alpine skier
David Kipiani,Soviet Union,footballer
David Roberts (athlete),United States,American pole vaulter
Georgios Hatziioannidis,,Olympic wrestler
Gerardo Tazzer,,Equestrian
Bernd Herrmann,Germany,German sprinter
Bernd Landvoigt,Germany,Rower
Beth Anders,United States,Field hockey
Bogusław Zych,Poland,Polish fencer
Boris Lukomsky,Russia,Fencer
Burglinde Pollak,Germany,German heptathlete
Vicky Latta,,Equestrian
Władysław Stecyk,,Olympic wrestler
Joachim Streich,Germany,East German footballer
Anatoly Alyabyev,Soviet Union,Soviet biathlete
Lidiya Krylova,,Rower
Lieuwe de Boer,Netherlands,Speed skater
Lorenzo Martínez,,Volleyball
Francis Kerbiriou,France,French athlete
Nicolae Munteanu,,Handball
Nicolae Pop,,Volleyball
Nobutaka Taguchi,Japan,Japanese swimmer
Ildikó Schwarczenberger,Hungary,Hungarian fencer
Ilona Nagy,Hungary,Handball
Imre Gedővári,Hungary,Hungarian fencer
Clarence Hill (boxer),,Boxer
Samiullah Khan (field hockey),Pakistan,Field hockey
Satymkul Dzhumanazarov,,Athletics (sport) competitor
Colleen O'Connor,United States,Figure skater
Constantin Sterea (volleyball),Romania,Volleyball
Kathy Hammond,,Athletics (sport) competitor
Ivan Burtchin,,Canoe racer
Jörg Puttlitz,,Rower
Elisabeth Demleitner,,Luger
Ellen Streidt,Germany,German sprinter
Erik Fish,,Swimmer
Tom McBreen,United States,American swimmer Olympic gold medalist former world record-holder
Ludmilla Tourischeva,Soviet Union,Gymnast
Lynn Vidali,United States,American swimmer Olympic silver medalist former world record-holder
Lyudmila Maslakova,,Athletics (sport) competitor
Mária Zakariás,Hungary,Hungarian canoeist
Márta Megyeri,,Handball
Magdalena Wunderlich,Germany,German canoeist
Yelena Antonova (rower),United States,Olympic rowers of the Soviet Union
Yuri Lobanov,Soviet Union,Canoe racer
Patrick Sweeney (rower),,Rower
Paul-Heinz Wellmann,Germany,German middle distance runner
Rudolf Nébald,Hungary,Hungarian fencer
Mikko Huhtala,,Olympic wrestler
Ton Buunk,United States,Water polo player
Tsvetana Bozhurina,,Volleyball
Ute Hommola,Germany,German javelin thrower
Valeriy Podluzhniy,,Athletics (sport) competitor
Steve Furniss,United States,American swimmer Olympic bronze medalist former world record-holder
Heinz Stettler,Switzerland,Swiss bobsledder
Klaus-Peter Hildenbrand,,Athletics (sport) competitor
Larion Serghei,,Canoe racer
Lars-Erik Skiöld,Sweden,Olympic wrestler
Marion Tietz,,Handball
James McEwan,,Canoe racer
Julie Staver,United States,Field hockey
Athol Earl,,Rower
Angela Coughlan,Canada,Canadian swimmer
Oleh Blokhin,Soviet Union,footballer
Ralph Kubail,,Rower
Reinhard Häfner,Germany,German footballer and manager
Peter Westbrook,United States,Fencer
Phil Monckton,,Rower
Pietro Mennea,Italy,Athletics (sport) competitor sprinter
Preben Krab,,Rower
Aleksandr Yelizarov,Soviet Union,Soviet biathlete
Alfred Kałuziński,Poland,Handball
Susan Shields,United States,American swimmer Olympic bronze medalist
Tamás Buday,,Canoe racer
Tamás Faragó,,Water polo player
Tatyana Prorochenko,,Athletics (sport) competitor
Terje Andersen,,Speed skater
George Turpin,United Kingdom,Boxer
Vera Anisimova,Soviet Union,Soviet sprinter
Viacheslav Lampeev,Soviet Union,Field hockey
Viktor Savchenko,Soviet Union,Boxer
Joachim Dreifke,,Rower
Alfredo Figueredo,Cuba,Volleyball
András Botos,,Boxer
Nikolai Andrianov,Soviet Union,Gymnast
Charlie Spedding,United Kingdom,British athlete
Christina Rost,,Handball
Clemente Rojas,,Boxer
Wendy Turnbull,Australia,Tennis player
Werner Stöckl,,Handball
Willi Frommelt,Alps,Alpine skier
Cynthia Neale-Ishoy,Canada,Olympic medalist in equestrian
Karin Büttner-Janz,,Gymnast
Kent Massey,United States,Sailor
Jürgen Pommerenke,Germany,German footballer and manager
Erzsébet Csajbók,,Handball
Thomas Strauß,,Rower
Luis Gregorio Ramos,,Canoe racer
Manfred Beer,Germany,German biathlete
Yuri Gavrilov,United States,Russian footballer
Zoran Pančić,Yugoslavia,Rower
Gail Ricketson,United States,Olympic medalist in rowing
Patrick Cowdell,,Boxer
Pavel Pavlov (wrestler),,Olympic wrestler
Rolf Danneberg,Germany,German discus thrower
Milorad Stanulov,,Rower
Ulrike Bruns,Germany,German middle distance runner
Valeri Belyakov,Soviet Union,Field hockey
Valeri Dolinin,United States,Rower
Hans Rinn,,Luger
Harald Stenvaag,,Sport shooter
Henry Glaß,,Ski jumper
Klára Rajnai,,Canoe racer
Maria Micşa,,Rower
Janet Lynn,,Figure skater
Jean-Blaise Evéquoz,,Fencer
Dwight Stones,United States,Athletics (sport) competitor high jumper track and field commentator
Elfi Zinn,Cameroon,East german middle distance runner
Juan Paredes,,Boxer
Kaarlo Maaninka,,Athletics (sport) competitor
Axel Tyll,Germany,German footballer
Ayhan Taşkın,,Olympic wrestler
Angelo Parisi,Italy,Olympic Judoka
Aramby Emizh,Soviet Union,Judoka
Oszkár Frey,,Canoe racer
Ralph Evans (boxer),United Kingdom,Boxer
Raul Arnemann,,Rower
Aleksandr Prokopenko,Belarus,Association footballer
Alexandr Romankov,Soviet Union,Soviet fencer
Robert Espeseth,,Olympic medalists in rowing
Tatyana Providokhina,,Athletics (sport) competitor
Nadezhda Sevostyanova,,Rower
Bruce Robertson (swimmer),Canada,Canadian swimmer
Valter Chifu,,Volleyball
Vassily Solomin,,Boxer
Vladimir Kolev,,Boxer
Vladimir Lobanov,,Speed skater
Jerzy Klempel,Poland,Handball
Jerzy Rybicki,Poland,Polish boxer
Jesús Savigne,,Volleyball
Jo Hea-Jung,,Volleyball
Andreas Kirchner,,Bobsledder
Leif Holmgren,Sweden,Ice Hockey
Leonid Buryak,Soviet Union,Footballer
Francesco Dall'Olio,Italy,Volleyball
Matija Ljubek,,Canoe racer
Mats Waltin,Sweden,Ice Hockey
Nedelcho Kolev,,Weightlifter
Nikolay Bazhukov,,Cross-country skier
Nikolay Kolesnikov (sprinter),,Athletics (sport) competitor
Nikolay Kuznetsov (rower),,Rower
Herminio Menéndez,,Canoe racer
Charles Tickner,,Figure skater
Adam Sandurski,Poland,Polish sport wrestler
Adam Tomasiak,Poland,Polish rower
Carie Graves,,Olympic medalist in rowing
Carol Brown (rower),United States,Olympic rower
Wilfried Hartung,Germany,Swimmer
Cornel Marin,Romania,Fencer
John Murphy (swimmer),United States,American swimmer Olympic gold medalist
Karl-Heinz Krüger,Germany,Boxer
Karl Schrott,,Luger
Kate Schmidt,United States,Athletics (sport) competitor
Ioan Pop,Romania,Fencer
Ivan Manev,,Canoe racer
Jørgen Bojsen-Møller,,Sailor
Jürgen Lehnert,,Canoe racer
Tim Willoughby,Australia,Australian rower yachtsman and investment banker
Lucian Vasilache,,Handball
Lyudmila Krokhina,,Rower
Grzegorz Nowak (rower),Poland,Polish rower
Hans-Henrik Ørsted,Denmark,Track cyclist
Yevgeny Belyayev,,Cross-country skier
Yuji Takada (wrestler),,Olympic wrestler
Zdeněk Pecka,,Rower
Franz Reindl,Germany,Ice Hockey
Urs Salzmann,,Bobsledder
Sergėjus Jovaiša,Lithuania,Basketball
Sergei Klevtsov,Soviet Union,Field hockey
Siegfried Fricke,,Rower
Silvia Chivás,,Athletics (sport) competitor
Silvio Giobellina,,Bobsledder
Hans van Zeeland,Netherlands,Dutch water polo player
Hartwig Gauder,,Athletics (sport) competitor
Herbert Plank,Alps,Alpine skier
Lazar Khristov,,Canoe racer
Maria Teresa Ramírez,Mexico,Swimmer
Marion Greig,United States,Olympic medalist in rowing
Marit Myrmæl,,Cross-country skier
Mark Berger (judoka),Ukraine,Judoka
Martha Laurijsen,,Rower
Ecaterina Oancia,,Rower
Edit Kovács,Hungary,Hungarian fencer
Joslyn Hoyte-Smith,United Kingdom,British athlete
Jutta Kirst,Germany,German high jumper
Kai Arne Engelstad,,Speed skater
Aziz Salihu,,Boxer
Anne Warner (rower),United States,Olympic medalist in rowing
Annemiek Derckx,,Canoe racer
Anton Winkler,,Luger
Aristidis Rapanakis,,Sailor
Oleg Romantsev,Soviet Union,Russian footballer and manager
Ossie Stewart,United Kingdom,Sailor
Radomir Kovačević,,Judoka
Petra Uhlig,,Handball
Policarp Malîhin,,Canoe racer
Aleksandr Abushakhmetov,Kyrgyzstan,Fencer
Aleksandr Aksinin,,Athletics (sport) competitor
Alfio Peraboni,Italy,Sailor
Rik Toonen,,Water polo player
Robert Van de Walle,Belgium,judoka
Tatyana Skachko,Soviet Union,Soviet long jumper
Gheorghe Megelea,Romania,Romanian javelin thrower
Gijze Stroboer,Netherlands,Water polo player
Mohamed Kedir,,Athletics (sport) competitor
Beverley Whitfield,,Swimmer
Birgitte Hanel,,Rower
Bozhidar Milenkov,,Canoe racer
Valery Gazzaev,Soviet Union,Soviet footballer and manager
Vasile Dîba,,Canoe racer
Vladimir Smirnov (fencer),Soviet Union,Soviet fencer
Wanda Jewell,United States,Former American Olympic sports shooter.
João Carlos de Oliveira,Brazil,Athletics (sport) competitor
Anatoly Myshkin,,Basketball
Andrea Gyarmati,,Swimmer
Andrei Minenkov,United States,Russian ice dancer
Leszek Kosedowski,Poland,Polish boxer
Farit Zigangirov,Soviet Union,Field hockey
Felicia Afrăsiloaie,Romania,Olympic rower of Romania
Frédéric Pietruszka,France,Fencer
Frank-Peter Bischof,Germany,Canoe racer
Marvin Johnson,,Boxer
Nico Landeweerd,,Water polo player
Novella Calligaris,Italy,Swimmer
Herman Frazier,,Athletics (sport) competitor and athletic director
Ian Brown (sailor),,Sailor
Ian Taylor (field hockey),,Field hockey
Akhtar Rasool,,Field hockey
Carmen Valdés,Cuba,Cuban sprinter
Carola Zirzow,Germany,German canoeist
Cezar Drăgăniță,Romania,Handball
Costică Dafinoiu,,Boxer
Dan Gîrleanu,Romania,Volleyball
Danièle Debernard,Alps,Alpine skier
Karen Moras,,Swimmer
Kazimierz Szczerba,Poland,Polish boxer
Irina Moiseeva,United States,Russian ice dancer
Enith Brigitha,,Swimmer
Tim Steens,,Field hockey
Luis Martínez (boxer),,Boxer
Malcolm Carmichael,United Kingdom,Rower
Yuri Barinov,Soviet Union,Racing cyclist
Zebiniso Rustamova,Tajikistan,Archer
Günther Enescu,Romania,Volleyball
Georg Fluckinger,,Luger
Paul Barber (field hockey),,Field hockey
Petar Petrov (athlete),Bulgaria,Bulgarian sprinter
Peter Dignan,,Olympic Rower
Detlef Ultsch,,Judoka
Dominique Rocheteau,France,Footballer
Donna Gurr,Canada,Swimmer
Rositsa Dimitrova,,Volleyball
Rumyana Kaisheva,,Volleyball
Mihovil Nakić,Croatia,Basketball
Mikhail Nichepurenko,Soviet Union,Field hockey
Udo Beyer,,Athletics (sport) competitor
Udo Kiessling,Germany,Ice Hockey
Václav Vochoska,,Rower
Stefano Bellone,Italy,Italian fencer
Steve Ovett,England,British middle-distance runner
Henk Numan,United States,Judoka
Konrad Winkler (skier),Germany,German nordic combined skier
Kulbir Bhaura,,Field hockey
Marc Cerboni,,Fencer
Marco Negri (volleyball),,Volleyball
Margaret Knighton,,Equestrian
Marian Sypniewski,Poland,Polish fencer
Marja-Liisa Kirvesniemi,Finland,Cross-country skier
Earl Bell,United States,American pole vaulter
Edwin Moses,United States,American 400 metres hurdler
Eigil Ramsfjell,,Curler
Barbara Petzold,,Cross-country skier
Anka Khristolova,,Volleyball
Anne Henning,,Speed skater
Päivi Meriluoto,,Archer
Rajko Žižić,Yugoslavia,Basketball
Revaz Chelebadze,Soviet Union,footballer
Ricardo Rojas Frías,,Boxer
Pierre Durand Jr.,,Equestrian
Piotr Cieśla,Poland,Handball
Alexander Zavyalov,Soviet Union,Soviet cross country skier
Richard Nowakowski,Poland,Boxer
Richard Priestman,,Archer
Stoyanka Kurbatova,,Rower
Sue Holloway,,Canoe racer and cross country skier
Tanya Dimitrova,,Volleyball
Evelyn Matz,,Handball
Dave Rodger,,Rower
David Townsend (rower),United Kingdom,Rower
Momir Rnić,,Handball
Natalya Petrusyova,,Speed skater
Bernd Duvigneau,,Canoe racer
Bo Berglund,Sweden,Ice Hockey
Borislav Ananiev,,Canoe racer
Butch Johnson,United States,Archer
Vasile Andrei,,Wrestler
Verka Borisova,,Volleyball
Virginia Leng,United Kingdom,Equestrian
Włodzimierz Zieliński,Poland,Handball
Anastasios Bountouris,Greece,Greek yacht racer
Andy Hoepelman,,Water polo player
Leonid Nazarenko,Russia,Russian footballer
Lorraine Moller,Denmark,New Zealand distance runner
Lothar Krieg,Germany,German sprinter
François Barouh,,Canoe racer
Frank Baumgartl,,Athletics (sport) competitor
Frank Wartenberg,Germany,German long jumper
Maya Georgieva,,Volleyball
Neculai Vasilcă,,Handball
Nikolai Ilkov,,Canoe racer
Hugh Fisher (canoeist),New Zealand,Canoe racer
Sandro Bellucci,Italy,Athletics (sport) competitor
Carlos Salas,,Volleyball
Wendy Boglioli,United States,American swimmer Olympic gold medalist former world record-holder
Dan Harrigan,United States,American swimmer Olympic bronze medalist
Dan Immerfall,,Speed skater
Dan Karabin,Slovakia,Olympic wrestler
Daniel Carlisle,United States,Former American Olympic sports shooter.
John Tate (boxer),United States,American boxer
Kenth Eldebrink,,Athletics (sport) competitor
Khoren Oganesian,Soviet Union,Footballer
Éva Angyal,Hungary,Handball
Erhard Wunderlich,Germany,Handball
Erik Christiansen,Denmark,Rower Rower
Thomas Hörster,Germany,German football player/manager/scout
Tinks Pottinger,,Equestrian
Márta Egervári,Hungary,Gymnast
György Nébald,Hungary,Fencer
Håkan Eriksson (ice hockey),Sweden,Ice Hockey
Hanni Wenzel,Germany,Alpine skier
Zoltán Verrasztó,Hungary,Swimmer
Fritz Fischer (biathlete),Germany,German biathlete
Göran Lindblom,Sweden,Ice Hockey
Gael Martin,Australia,Australian shot putter and discus thrower
Peggy McCarthy,United States,Olympic medalists in rowing
Peter Lindmark,Sweden,Ice Hockey
Detlef Richter,Germany,Bobsledder
Roland Wieser,,Athletics (sport) competitor
Michèle Chardonnet,France,French athlete
Michael Musyoki,,Athletics (sport) competitor
Mike Teti,United States,Olympic medalist in rowing
Mirko Puzović,,Boxer
Sergey Andreyev,Soviet Union,footballer
Sergey Shavlo,Ukraine,footballer
Shane Gould,,Swimmer
Silviya Petrunova,,Volleyball
Sonia Lannaman,United States,British athlete
Sorin Macavei,Romania,Volleyball
Steve Podborski,United States,Alpine skier
Hans Smits,,Water polo player
Klaus Ploghaus,Germany,German hammer thrower
Klaus Wöller,Germany,Handball
Koji Gushiken,,Gymnast
Květa Jeriová,,Cross-country skier
Larry Myricks,,Long jumper
Lars Molin (ice hockey),Sweden,Ice Hockey
Lawrie Smith,United Kingdom,Sailor
Mark Precious,,Field hockey
Mark Todd (equestrian),New Zealand,Equestrian
Jean-François Lamour,France,Fencer
Barbara Schüttpelz,,Canoe racer
Ove Aunli,,Cross-country skier
Raúl Vilches,,Volleyball
Rüdiger Helm,,Canoe racer
Alex Boegschoten,,Water polo player
Alexander Fölker,,Handball
Tatyana Lesovaya,Soviet Union,Soviet discus throw
Tengiz Sulakvelidze,Soviet Union,footballer
Terence Neilson,,Sailor
Dave Laut,,Athletics (sport) competitor
Gert Frank,Denmark,Danish racing cyclist
Giovanni Lanfranco (volleyball),Italy,Volleyball
Berit Aunli,,Cross-country skier
Bernd Olbricht,,Canoe racer
Beverley Goddard,United Kingdom,British athlete
Bjarni Friðriksson,,Judoka
Blagoy Blagoev,,Weightlifter
Victoriano Sarmientos,,Volleyball
Viktor Rybakov,Soviet Union,Boxer
Viorel Manole,Romania,Volleyball
Vladimir Fyodorov (footballer),Soviet Union,Russian footballer
Volker Grabow,Germany,Rower
Wang Linwei,,Handball
Jeff Madrigali,United States,Sailor
Jim Barton (sailor),United States,Sailor
Andrew Bennie,,Equestrian
Leonard Nitz,United States,American racing cyclist
Leslie Milne (field hockey),United States,Field hockey
Li Ronghua,,Olympic rower
Frank Andersson,Sweden,Wrestler
Hussein Ahmed Salah,Djibouti,Long-distance runner from Djibouti
Christine Errath,Germany,German figure skater
Christine Larson-Mason,United States,Field hockey
Claudia Wunderlich,Cameroon,Handball
Ace Rusevski,Yugoslavia,Boxer
Cees Jan Diepeveen,,Field hockey
Wendy Hogg,,Swimmer
Dag Otto Lauritzen,Norway,Norwegian racing cyclist
Joni Huntley,United States,American Olympic athlete
Ştefan Rusu,,Olympic wrestler
Ingrid Auerswald,,Athletics (sport) competitor
István Lévai,,Boxer
Ivan Lebanov,,Cross-country skier
Jüri Tamm,Estonia,Athletics (sport) competitor hammer thrower Estonian politician
Luis Delís,,Athletics (sport) competitor
Grigory Verichev,Soviet Union,Judoka
Wolfgang Hoppe,Germany,Bobsledder
Wu Xingjiang,China,Handball
Xu Haifeng,China,Chinese sport shooter
Yumi Maruyama,,Volleyball
Gail Amundrud,Canada,Canadian Swimmer
Paul Frommelt,Alps,Alpine skier
Payao Poontarat,Thailand,Boxer Politician
Dirk Rauin,,Handball
Rudolf Bommer,Germany,German football player and manager
Michael Anthony (boxer),,Boxer
Michel Poffet,,Fencer
Mircea Bedivan,,Handball
Mircea Frăţică,,Judoka
Véronique Brouquier,France,Fencer
Valentin Silaghi,,Boxer
Valeria Răcilă,,Rower
Sergei Pleshakov,Soviet Union,Field hockey
Sergei Zhelanov,Soviet Union,Soviet decathlete
Stephen Calder,,Sailor
Harald Lückner,Sweden,Ice Hockey
Harald Schmid,Germany,German sprinter and hurdler
Herbert Bauch,,Boxer
Kyoji Yamawaki,Japan,Japanese gymnast
Marek Seweryn,,Weightlifter
Marianna Nagy (handballer),Hungary,Handball
James Duthie (field hockey),,Field hockey
Jan Mathiasen,,Sailor
Jayne Torvill,,Figure skater
Dugarsürengiin Oyuunbold,,Olympic wrestler
Dumitru Cipere,,Boxer
Duncan Goodhew,United Kingdom,British swimmer
Johann Riederer,,Sport shooter
John Beattie (rower),United Kingdom,Rower
Bärbel Köster,,Canoe racer
Anette Bøe,,Cross-country skier
Anne Quist,,Rower
Arnulf Meffle,,Handball
Philippe Riboud,France,Fencer
Aleksandr Puchkov,,Athletics (sport) competitor
Alexander Dityatin,Soviet Union,Gymnast
Rinat Dasayev,Soviet Union,Soviet footballer
Robert Mills (rower),,Rower
David Weller,Jamaica,Jamaican racing cyclist
Gheorghe Covaciu,,Handball
Gianfranco Dalla Barba,Italy,Fencer
Gina Smith,Canada,Olympic medalist in equestrian
Beth Beglin,United States,Field hockey
Bill Forrester,United States,American swimmer Olympic bronze medalist former world record-holder
Birgit Heinecke,,Handball
Bodil Rasmussen,Denmark,Rower
Bogdan Musiol,,Bobsledder
Brigitte Latrille-Gaudin,France,Fencer
Vasile Oprea,,Handball
Vasile Stîngă,,Handball
Viktor Kokoshyn,,Rower
Vladimir Pleshakov,Soviet Union,Field hockey
Walter Carmona,,Judoka
Alwyn Morris,Canada,Canoe racer
Martin Cross,United Kingdom,Rower
Nicu Stoian,,Volleyball
Nikolay Kirov,,Athletics (sport) competitor
Ian McNuff,United Kingdom,Rower
Charlotte Bredahl,United States,Olympic medalist in equestrian
Charlotte Koefoed,,Rower
Christina Seufert,United States,Olympic diver
Christine Traurig,United States,Olympic medalist in equestrian
Christopher Cairns (sailor),,Sailor
Sabine Röther,,Handball
Adam Robak,Poland,Polish fencer
Aki Karvonen,,Cross-country skier
Carlo Massullo,,Modern pentathlete 1984 Olympic team gold 1988 team & individual silver 1992 team bronze
Charlene Morett,United States,Field hockey
Wiljon Vaandrager,,Rower
Cornel Durău,,Handball
Karen Shelton,,Field hockey
Kazimierz Adach,Poland,Polish boxer
Keena Rothhammer,United States,American swimmer Olympic gold medalist former world record-holder
Keith Connor,United Kingdom,British athlete
Ion Bîrlădeanu,,Canoe racer
Irada Ashumova,Azerbaijan,Azerbaijani sport shooter
Július Strnisko,Czechoslovakia,Czechoslovak wrestler
Jānis Ķipurs,,Bobsledder
Ellen Fiedler,Germany,German hurdler
Thomas Happe,,Handball
Lucie Guay,,Canoe racer
Lyudmila Kondratyeva,Soviet Union,Soviet sprint athlete
Graeme Brewer,Australia,Swimmer
Hans Enn,Alps,Alpine skier
Wolfgang Funkel,Germany,German football player and manager
Yuko Mitsuya,,Volleyball
Zhang Peijun,China,Handball
Zintis Ekmanis,,Bobsledder
Gaétan Boucher,Canada,Speed skater
Gary Oakes,United Kingdom,British athlete
Paul Davis (sailor),,Sailor
Det de Beus,Netherlands,Field hockey
Detlef Kästner,Germany,Boxer
Diane Dezura,Canada,Curler
Djan Madruga,Brazil,Swimmer
Doug Hamilton (rower),,Rower
Rosa Mota,Portugal,Athletics (sport) competitor
Turgut Aykaç,,Boxer
Ulla Salzgeber,Germany,Equestrian
Ute Thimm,Germany,German sprinter
Uwe Bewersdorf,Germany,German pair skater
Valentina Skrabatun,Belarus,Rower
Sergei Pavlovich Baltacha,Soviet Union,footballer
Song Xiaobo,,Basketball
Sophie von Weiler,,Field hockey
Steve Timmons,United States,Volleyball
Hans Magnus Grepperud,,Rower
Harold Haenel,,Sailor
Heike Schulte-Mattler,Germany,German sprinter
Kriss Akabusi,United Kingdom,British athlete
Larysa Karlova,Soviet Union,Handball
Marek Łbik,Poland,Polish canoeist
Margot Foster,,Rower
James Battersby,,Rower
Jan Eriksson (ice hockey),Sweden,Ice Hockey
Dwayne Evans,United States,American sprinter
Eckhard Leue,Germany,Canoe racer
Arto Bryggare,Finland,Athletics (sport) competitor hurdler
Barbara Clark,,Swimmer
Anton Steiner,Alps,Alpine skier
Antonina Melnikova,Soviet Union,Canoe racer
Antonina Zelikovich,Russia,Russian rower
Pascal Jolyot,France,Fencer
Pascale Trinquet,France,French fencer
Piero Rebaudengo,,Volleyball
Aleksander Cichoń,Poland,Olympic wrestler
Aleksandr Mozhayev,Russia,Fencer
Aletta van Manen,,Field hockey
Rico Freiermuth,,Bobsledder
Robert McCall (figure skater),Canada,Figure skater
Roberto Tozzi,,Athletics (sport) competitor
Susan Sloan,,Swimmer
Tamara Bykova,Soviet Union,Soviet high jumper
Tapio Sipilä,,Olympic wrestler
Gerhard Kleppinger,Germany,German footballer and manager
Benni Ljungbeck,,Olympic wrestler
Boris Isachenko,Soviet Union,Archer
Vasil Yakusha,,Belorussian rower
Veryan Pappin,,Field hockey
Vladimir Aleksandrov,,Bobsledder
Vladimir Koslov,,Bobsledder
Vladimir Yesheyev,Soviet Union,Soviet archer
Volodymyr Bezsonov,Soviet Union,footballer
Jeannie Longo,France,French racing cyclist
Andreas Wenzel,Liechtenstein,Alpine skier
Liu Liping,,Handball
Frank Mill,Germany,German footballer
Frank Schaffer,Germany,German sprinter
